02/02/2018 05:36:05 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fe11008a5e8>]
02/02/2018 05:38:32 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fabfd6915e8>]
02/02/2018 05:40:14 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fef4d6c15e8>]
02/02/2018 05:40:44 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f5b140755e8>]
02/02/2018 05:45:24 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fe7540f75e8>]
02/02/2018 05:48:34 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f41380815e8>]
02/02/2018 05:49:34 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f233c03b5e8>]
02/02/2018 05:49:58 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fed2808b5e8>]
02/02/2018 06:18:46 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7ffab815b678>]
02/02/2018 06:28:01 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f1b91d195e8>]
02/02/2018 06:30:30 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f6ed5b475e8>]
02/02/2018 06:33:03 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f683c0565e8>]
02/02/2018 06:33:22 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f6a1004b5e8>]
02/02/2018 06:50:02 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f653803c5e8>]
02/02/2018 06:50:38 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7ffa501135e8>]
02/02/2018 06:51:00 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fc4f811b5e8>]
02/02/2018 06:55:49 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f04100745e8>]
02/02/2018 06:56:17 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f357944f5e8>]
02/02/2018 06:58:52 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f786949f5e8>]
02/02/2018 07:01:54 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f7494edc678>]
02/02/2018 07:07:35 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fa8851d65e8>]
02/02/2018 07:08:07 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fe1b17d8678>]
02/02/2018 07:08:58 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fe1b17d8678>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7fe1b1569ee8>]
02/02/2018 07:09:05 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fe1b17d8678>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7fe1b1569ee8>]
02/02/2018 07:09:10 | DEBUG | pyforms.gui.controls.ControlList | tableWidgetCellDoubleClicked | Cell double clicked. Stored value: Camera2
02/02/2018 07:09:13 | DEBUG | pyforms.gui.controls.ControlList | tableWidgetCellDoubleClicked | Cell double clicked. Stored value: Camera1
02/02/2018 07:11:20 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f16b8025678>]
02/02/2018 07:11:31 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f7db40c6678>]
02/02/2018 07:17:31 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f92c9139678>]
02/02/2018 07:21:08 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fd5640455e8>]
02/02/2018 07:21:47 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fe5c008c5e8>]
02/02/2018 07:24:43 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f8cf80575e8>]
02/02/2018 07:25:39 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fb3540e85e8>]
02/02/2018 07:26:15 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fddcc1aa5e8>]
02/02/2018 07:27:23 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7fddcc1aa5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7fddc00bce58>]
02/02/2018 07:28:17 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f7d7c03e5e8>]
02/02/2018 07:30:35 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f4bb00435e8>]
02/02/2018 07:30:55 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f4bb00435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f4b9406de58>]
02/02/2018 07:31:00 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f4bb00435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f4b9406de58>]
02/02/2018 07:32:01 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>]
02/02/2018 07:32:20 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>]
02/02/2018 07:32:27 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>]
02/02/2018 07:32:28 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>]
02/02/2018 07:32:37 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>]
02/02/2018 07:32:46 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>]
02/02/2018 07:32:47 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>]
02/02/2018 07:32:50 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>]
02/02/2018 07:32:57 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>]
02/02/2018 07:32:58 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>]
02/02/2018 07:33:01 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>]
02/02/2018 07:33:02 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>]
02/02/2018 07:33:07 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>]
02/02/2018 07:33:08 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>]
02/02/2018 07:33:09 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>]
02/02/2018 07:33:11 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>]
02/02/2018 07:33:12 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>]
02/02/2018 07:33:14 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f828>]
02/02/2018 07:33:31 | DEBUG | pyforms.gui.controls.ControlMdiArea | _subWindowClosed | Sub window closed. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f828>]
02/02/2018 07:33:35 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f828>]
02/02/2018 07:33:40 | DEBUG | pyforms.gui.controls.ControlMdiArea | __add__ | Sub window opened. MDI area sub windows: [<PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c680435e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c57c6fe58>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f5e8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f4c8>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f708>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f678>, <PyQt5.QtWidgets.QMdiSubWindow object at 0x7f2c5c06f828>]
